index,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,travel_date,pickup_area,dropoff_area,lyft_cost,lyft_plus_cost,lyft_line_cost,lyft_distance,lyft_duration
5500,1,2016-01-01 00:31:49,2016-01-01 00:41:45,2,2.9,-73.98858642578125,40.71879959106445,1,N,-73.9728012084961,40.743408203125,1,11.5,0.5,0.5,2.55,0.0,0.3,15.35,2016-01-01,Manhattan,Manhattan,12.50,19.00,7.99,2.51,932
5501,1,2016-01-01 00:31:50,2016-01-01 00:37:36,2,1.5,-73.9502410888672,40.7797737121582,1,N,-73.96360778808595,40.76138687133789,1,6.5,0.5,0.5,1.55,0.0,0.3,9.35,2016-01-01,Manhattan,Manhattan,11.00,16.00,6.58,1.56,846
5502,1,2016-01-01 00:31:50,2016-01-01 00:46:19,2,1.8,-73.98445892333984,40.724922180175774,1,N,-74.00482177734375,40.73816680908203,1,10.5,0.5,0.5,2.35,0.0,0.3,14.15,2016-01-01,Manhattan,Manhattan,12.50,18.50,7.98,1.87,1123
5503,1,2016-01-01 00:31:50,2016-01-01 00:40:26,1,1.1,-73.9757080078125,40.75149536132813,1,N,-73.99128723144531,40.75009536743164,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,2016-01-01,Manhattan,Manhattan,10.50,15.00,6.11,1.24,817
5504,1,2016-01-01 00:31:50,2016-01-01 00:43:46,1,5.2,-73.95055389404298,40.77728271484375,1,N,-73.9850311279297,40.721923828125,1,17.0,0.5,0.5,2.0,0.0,0.3,20.3,2016-01-01,Manhattan,Manhattan,20.50,31.00,13.00,5.41,1362
5505,1,2016-01-01 00:31:51,2016-01-01 00:48:37,3,2.6,-73.97846221923827,40.684024810791016,1,N,-73.93482208251955,40.69031143188477,2,12.5,0.5,0.5,0.0,0.0,0.3,13.8,2016-01-01,Brooklyn,Brooklyn,15.00,22.50,9.42,2.97,1175
5506,1,2016-01-01 00:31:52,2016-01-01 00:51:56,2,9.1,-73.99201202392578,40.72467041015625,1,N,-73.91372680664062,40.764102935791016,2,28.0,0.5,0.5,0.0,0.0,0.3,29.3,2016-01-01,Manhattan,Queens,30.50,46.50,25.30,8.79,1930
5507,1,2016-01-01 00:31:53,2016-01-01 00:37:24,1,0.9,-74.0,40.72704315185547,1,N,-73.99666595458984,40.73740005493164,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8,2016-01-01,Manhattan,Manhattan,9.00,13.00,5.20,0.92,485
5508,1,2016-01-01 00:31:53,2016-01-01 00:47:30,4,3.6,-74.00401306152342,40.75303268432617,1,N,-74.01724243164062,40.70523071289063,2,14.5,0.5,0.5,0.0,0.0,0.3,15.8,2016-01-01,Manhattan,Manhattan,16.50,25.00,10.48,3.61,1264
5509,1,2016-01-01 00:31:53,2016-01-01 00:37:03,1,0.8,-73.98731994628906,40.7183723449707,1,N,-73.98126220703125,40.724945068359375,1,5.5,0.5,0.5,1.35,0.0,0.3,8.15,2016-01-01,Manhattan,Manhattan,9.00,13.00,5.20,0.72,527
