user_id,display_name,link,reputation
1229594,Leeish,http://stackoverflow.com/users/1229594/leeish ,3811
1774037,volume one,http://stackoverflow.com/users/1774037/volume-one ,1845
437328,Sajjan Sarkar,http://stackoverflow.com/users/437328/sajjan-sarkar ,1265
660380,niahoo,http://stackoverflow.com/users/660380/niahoo ,873
814299,jessieloo,http://stackoverflow.com/users/814299/jessieloo ,833
341293,Nathan Stanford,http://stackoverflow.com/users/341293/nathan-stanford ,745
3023588,espresso_coffee,http://stackoverflow.com/users/3023588/espresso-coffee ,657
3733648,user3733648,http://stackoverflow.com/users/3733648/user3733648 ,467
416530,Brian Fleishman,http://stackoverflow.com/users/416530/brian-fleishman ,395
1052179,rob,http://stackoverflow.com/users/1052179/rob ,388
260648,Vlad,http://stackoverflow.com/users/260648/vlad ,319
2309132,Dave L,http://stackoverflow.com/users/2309132/dave-l ,169
3155527,gosi123,http://stackoverflow.com/users/3155527/gosi123 ,153
4567833,anatp_123,http://stackoverflow.com/users/4567833/anatp-123 ,129
4139461,Jack,http://stackoverflow.com/users/4139461/jack ,125
1042755,daltec,http://stackoverflow.com/users/1042755/daltec ,102
5748190,MrSoolmaan,http://stackoverflow.com/users/5748190/mrsoolmaan ,97
2766423,user2766423,http://stackoverflow.com/users/2766423/user2766423 ,87
4697373,chyman-91,http://stackoverflow.com/users/4697373/chyman-91 ,83
1574718,billvsd,http://stackoverflow.com/users/1574718/billvsd ,80
2561123,Sam Allen,http://stackoverflow.com/users/2561123/sam-allen ,68
1279014,MerrickC,http://stackoverflow.com/users/1279014/merrickc ,52
1728977,kelseyelayne,http://stackoverflow.com/users/1728977/kelseyelayne ,50
1959428,SGekko,http://stackoverflow.com/users/1959428/sgekko ,49
5655264,rashmeePrakash,http://stackoverflow.com/users/5655264/rashmeeprakash ,31
6601036,Jack,http://stackoverflow.com/users/6601036/jack ,24
6770175,T2Admin,http://stackoverflow.com/users/6770175/t2admin ,24
5487510,philosopher,http://stackoverflow.com/users/5487510/philosopher ,16
6836309,Jackson,http://stackoverflow.com/users/6836309/jackson ,15
4317627,Dany,http://stackoverflow.com/users/4317627/dany ,12
2482479,user2482479,http://stackoverflow.com/users/2482479/user2482479 ,11
7001261,Oli Rosenbladt,http://stackoverflow.com/users/7001261/oli-rosenbladt ,8
6844066,Idowu Rose Awosanya,http://stackoverflow.com/users/6844066/idowu-rose-awosanya ,6
4316267,George Foster,http://stackoverflow.com/users/4316267/george-foster ,6
6317014,Sakthikanth,http://stackoverflow.com/users/6317014/sakthikanth ,1
6739057,rayplu,http://stackoverflow.com/users/6739057/rayplu ,1
6921912,syenchik,http://stackoverflow.com/users/6921912/syenchik ,1
