user_id,display_name,link,reputation
1050619,user1050619,http://stackoverflow.com/users/1050619/user1050619 ,3625
1800893,patricia,http://stackoverflow.com/users/1800893/patricia ,394
3193371,tarikki,http://stackoverflow.com/users/3193371/tarikki ,170
6291646,Stone,http://stackoverflow.com/users/6291646/stone ,132
1987477,user123892,http://stackoverflow.com/users/1987477/user123892 ,113
3938365,nidhin,http://stackoverflow.com/users/3938365/nidhin ,41
6549255,mrsolupo,http://stackoverflow.com/users/6549255/mrsolupo ,40
4111381,PaulC,http://stackoverflow.com/users/4111381/paulc ,33
4499570,Keith Riches,http://stackoverflow.com/users/4499570/keith-riches ,17
6216289,Rodrigo Souza,http://stackoverflow.com/users/6216289/rodrigo-souza ,1
6935485,Dogfish,http://stackoverflow.com/users/6935485/dogfish ,1
