user_id,display_name,link,reputation
1814486,Nicholas Kyriakides,http://stackoverflow.com/users/1814486/nicholas-kyriakides ,3500
4979865,mankee,http://stackoverflow.com/users/4979865/mankee ,626
6250837,user6250837,http://stackoverflow.com/users/6250837/user6250837 ,224
4884522,Michael Galuza,http://stackoverflow.com/users/4884522/michael-galuza ,137
4417545,mortensen,http://stackoverflow.com/users/4417545/mortensen ,86
2058991,Marcus Aurelius,http://stackoverflow.com/users/2058991/marcus-aurelius ,82
2311963,user2311963,http://stackoverflow.com/users/2311963/user2311963 ,73
3404779,SHolmes,http://stackoverflow.com/users/3404779/sholmes ,63
5355973,user128409235,http://stackoverflow.com/users/5355973/user128409235 ,54
2870492,user2870492,http://stackoverflow.com/users/2870492/user2870492 ,37
5518248,Aung,http://stackoverflow.com/users/5518248/aung ,33
4422181,Ice,http://stackoverflow.com/users/4422181/ice ,32
5640663,Tudor Gălățan,http://stackoverflow.com/users/5640663/tudor-g%c4%83l%c4%83%c8%9ban ,24
4979394,question,http://stackoverflow.com/users/4979394/question ,11
6938031,ahenshaw,http://stackoverflow.com/users/6938031/ahenshaw ,9
5456630,m b,http://stackoverflow.com/users/5456630/m-b ,6
2958068,user2958068,http://stackoverflow.com/users/2958068/user2958068 ,5
4666023,jeff lockhart,http://stackoverflow.com/users/4666023/jeff-lockhart ,3
6713358,assam alzookery,http://stackoverflow.com/users/6713358/assam-alzookery ,1
6924518,Joy,http://stackoverflow.com/users/6924518/joy ,1
6921884,Samsong,http://stackoverflow.com/users/6921884/samsong ,1
6894094,Erik L.,http://stackoverflow.com/users/6894094/erik-l ,1
6543463,Amisha Bansal,http://stackoverflow.com/users/6543463/amisha-bansal ,1
