user_id,display_name,link,reputation
446554,Cory Klein,http://stackoverflow.com/users/446554/cory-klein ,11962
837133,ayvango,http://stackoverflow.com/users/837133/ayvango ,2349
568990,Samar,http://stackoverflow.com/users/568990/samar ,1458
1308975,aaronlevin,http://stackoverflow.com/users/1308975/aaronlevin ,798
426909,Yiqun Hu,http://stackoverflow.com/users/426909/yiqun-hu ,505
6446925,MarcD,http://stackoverflow.com/users/6446925/marcd ,368
3772716,Timothy Kimman,http://stackoverflow.com/users/3772716/timothy-kimman ,65
3376654,user3376654,http://stackoverflow.com/users/3376654/user3376654 ,29
6901616,Ben,http://stackoverflow.com/users/6901616/ben ,8
6401022,Stefan Koch,http://stackoverflow.com/users/6401022/stefan-koch ,5
