user_id,display_name,link,reputation
4639,Edward Tanguay,http://stackoverflow.com/users/4639/edward-tanguay ,63307
865320,The Newbie,http://stackoverflow.com/users/865320/the-newbie ,1328
1031021,TiagoM,http://stackoverflow.com/users/1031021/tiagom ,961
1360694,Siddharth Trikha,http://stackoverflow.com/users/1360694/siddharth-trikha ,593
5440006,yamachan,http://stackoverflow.com/users/5440006/yamachan ,191
5005385,Brad,http://stackoverflow.com/users/5005385/brad ,63
4125919,teninchhero,http://stackoverflow.com/users/4125919/teninchhero ,57
3595204,Nikolay Lipovtsev,http://stackoverflow.com/users/3595204/nikolay-lipovtsev ,33
4232245,Kinimod,http://stackoverflow.com/users/4232245/kinimod ,28
5831853,Irv,http://stackoverflow.com/users/5831853/irv ,27
6427243,L. Wu,http://stackoverflow.com/users/6427243/l-wu ,23
6903009,Gr&#233;gory L,http://stackoverflow.com/users/6903009/gr%c3%a9gory-l ,18
6452208,umaldo7,http://stackoverflow.com/users/6452208/umaldo7 ,13
4912880,Tom Mccarthy,http://stackoverflow.com/users/4912880/tom-mccarthy ,13
6296667,Saroj Thapa,http://stackoverflow.com/users/6296667/saroj-thapa ,12
6915506,GreenFreddy,http://stackoverflow.com/users/6915506/greenfreddy ,8
6452956,Zoster,http://stackoverflow.com/users/6452956/zoster ,3
6945633,Desmond The MOON BEAR,http://stackoverflow.com/users/6945633/desmond-the-moon-bear ,1
7001325,MoMo,http://stackoverflow.com/users/7001325/momo ,1
6400336,Programmer,http://stackoverflow.com/users/6400336/programmer ,1
