user_id,display_name,link,reputation
5242436,anwaar_hell,http://stackoverflow.com/users/5242436/anwaar-hell ,567
2956829,el n00b,http://stackoverflow.com/users/2956829/el-n00b ,140
6910955,KosugiNinja,http://stackoverflow.com/users/6910955/kosugininja ,106
1568538,Chris,http://stackoverflow.com/users/1568538/chris ,68
805178,user805178,http://stackoverflow.com/users/805178/user805178 ,13
6923088,Stefan,http://stackoverflow.com/users/6923088/stefan ,11
6921349,Kshitij Dasture,http://stackoverflow.com/users/6921349/kshitij-dasture ,6
3106080,Prakash26790,http://stackoverflow.com/users/3106080/prakash26790 ,2
6951241,caleb harfoot,http://stackoverflow.com/users/6951241/caleb-harfoot ,1
5702767,erictang121170hotmail,http://stackoverflow.com/users/5702767/erictang121170hotmail ,1
