user_id,display_name,link,reputation
2441637,Hasan A Yousef,http://stackoverflow.com/users/2441637/hasan-a-yousef ,1270
4172460,kez,http://stackoverflow.com/users/4172460/kez ,719
2970223,Chris,http://stackoverflow.com/users/2970223/chris ,658
2711059,Lijin John,http://stackoverflow.com/users/2711059/lijin-john ,349
3484533,Gleb,http://stackoverflow.com/users/3484533/gleb ,338
1290172,Harambe Attack Helicopter,http://stackoverflow.com/users/1290172/harambe-attack-helicopter ,208
2273909,Enlightened,http://stackoverflow.com/users/2273909/enlightened ,146
4377833,padhiyar,http://stackoverflow.com/users/4377833/padhiyar ,130
6140842,Rob,http://stackoverflow.com/users/6140842/rob ,81
4072412,Ben,http://stackoverflow.com/users/4072412/ben ,30
6873497,matiss,http://stackoverflow.com/users/6873497/matiss ,21
6934555,Dao Seeker,http://stackoverflow.com/users/6934555/dao-seeker ,11
