user_id,display_name,link,reputation
1472416,jgr208,http://stackoverflow.com/users/1472416/jgr208 ,1079
2363586,atikot,http://stackoverflow.com/users/2363586/atikot ,902
522322,Skorunka František,http://stackoverflow.com/users/522322/skorunka-franti%c5%a1ek ,677
466750,Madu Alikor,http://stackoverflow.com/users/466750/madu-alikor ,596
2301406,Nikhil,http://stackoverflow.com/users/2301406/nikhil ,51
432047,TalMcMahon,http://stackoverflow.com/users/432047/talmcmahon ,29
2347236,Charles Stein,http://stackoverflow.com/users/2347236/charles-stein ,26
2906578,user2906578,http://stackoverflow.com/users/2906578/user2906578 ,1
4974537,Venkatesh Kadali,http://stackoverflow.com/users/4974537/venkatesh-kadali ,1
6109531,valentin,http://stackoverflow.com/users/6109531/valentin ,1
