user_id,display_name,link,reputation
261159,Gregg,http://stackoverflow.com/users/261159/gregg ,16680
11755,dagda1,http://stackoverflow.com/users/11755/dagda1 ,8118
688869,Udo G,http://stackoverflow.com/users/688869/udo-g ,4286
2968101,Skahrz,http://stackoverflow.com/users/2968101/skahrz ,1869
1536973,Artisan,http://stackoverflow.com/users/1536973/artisan ,955
2606389,Anarion,http://stackoverflow.com/users/2606389/anarion ,737
3674127,Pachu,http://stackoverflow.com/users/3674127/pachu ,524
1705494,Dom Hede,http://stackoverflow.com/users/1705494/dom-hede ,438
4359349,Michael Horojanski,http://stackoverflow.com/users/4359349/michael-horojanski ,377
1966765,Ido,http://stackoverflow.com/users/1966765/ido ,308
1352132,3d0,http://stackoverflow.com/users/1352132/3d0 ,228
1182559,c10b10,http://stackoverflow.com/users/1182559/c10b10 ,124
283835,Tom,http://stackoverflow.com/users/283835/tom ,119
3343743,megkadams,http://stackoverflow.com/users/3343743/megkadams ,50
1304671,Atanas Abrashev,http://stackoverflow.com/users/1304671/atanas-abrashev ,38
2061779,user2061779,http://stackoverflow.com/users/2061779/user2061779 ,16
5416699,Patrick,http://stackoverflow.com/users/5416699/patrick ,6
1544200,Peter Uithoven,http://stackoverflow.com/users/1544200/peter-uithoven ,1
