user_id,display_name,link,reputation
2109038,Confused,http://stackoverflow.com/users/2109038/confused ,1259
2123083,cmi,http://stackoverflow.com/users/2123083/cmi ,862
2353841,Sabs,http://stackoverflow.com/users/2353841/sabs ,451
6031898,SwiftyJD,http://stackoverflow.com/users/6031898/swiftyjd ,224
6010602,aignetti,http://stackoverflow.com/users/6010602/aignetti ,205
4360150,Nurassyl Nuridin,http://stackoverflow.com/users/4360150/nurassyl-nuridin ,76
6841879,Oren Edrich,http://stackoverflow.com/users/6841879/oren-edrich ,55
6361496,John_Sm1,http://stackoverflow.com/users/6361496/john-sm1 ,41
4552051,Ino,http://stackoverflow.com/users/4552051/ino ,23
5735037,Antonio C,http://stackoverflow.com/users/5735037/antonio-c ,20
6836118,Pulse,http://stackoverflow.com/users/6836118/pulse ,18
6754580,Filippos T,http://stackoverflow.com/users/6754580/filippos-t ,15
6934400,Pa Bou,http://stackoverflow.com/users/6934400/pa-bou ,6
6906893,Zachary Walensa,http://stackoverflow.com/users/6906893/zachary-walensa ,1
