user_id,display_name,link,reputation
952310,Yair Nevet,http://stackoverflow.com/users/952310/yair-nevet ,8524
268543,joshu,http://stackoverflow.com/users/268543/joshu ,3939
552279,Xitrum,http://stackoverflow.com/users/552279/xitrum ,2039
858040,iLevi,http://stackoverflow.com/users/858040/ilevi ,354
1814493,Paflow,http://stackoverflow.com/users/1814493/paflow ,350
4373188,Wael Abo-Aishah,http://stackoverflow.com/users/4373188/wael-abo-aishah ,305
1564931,netchkin,http://stackoverflow.com/users/1564931/netchkin ,175
5185674,Andrea Cattaneo,http://stackoverflow.com/users/5185674/andrea-cattaneo ,117
2311285,user2311285,http://stackoverflow.com/users/2311285/user2311285 ,115
1474829,user1474829,http://stackoverflow.com/users/1474829/user1474829 ,68
2146414,user2146414,http://stackoverflow.com/users/2146414/user2146414 ,43
3674102,Sandy Nomy,http://stackoverflow.com/users/3674102/sandy-nomy ,21
