user_id,display_name,link,reputation
18149,leeand00,http://stackoverflow.com/users/18149/leeand00 ,8730
1812278,ElenaDBA,http://stackoverflow.com/users/1812278/elenadba ,1576
2274710,Sean,http://stackoverflow.com/users/2274710/sean ,1322
1171631,Beetlejuice,http://stackoverflow.com/users/1171631/beetlejuice ,1308
54170,DomBat,http://stackoverflow.com/users/54170/dombat ,853
665200,sam,http://stackoverflow.com/users/665200/sam ,787
826955,user826955,http://stackoverflow.com/users/826955/user826955 ,743
1379734,hellzone,http://stackoverflow.com/users/1379734/hellzone ,743
478020,Jordi Puigdell&#237;vol,http://stackoverflow.com/users/478020/jordi-puigdell%c3%advol ,594
1065366,Markus,http://stackoverflow.com/users/1065366/markus ,523
1738222,Krishna_Oza,http://stackoverflow.com/users/1738222/krishna-oza ,486
2661292,Sebastien Dionne,http://stackoverflow.com/users/2661292/sebastien-dionne ,394
1697145,Marlon Tiedt,http://stackoverflow.com/users/1697145/marlon-tiedt ,352
4071619,Craig,http://stackoverflow.com/users/4071619/craig ,328
3414468,Man&#231;aux Pierre-Alexandre,http://stackoverflow.com/users/3414468/man%c3%a7aux-pierre-alexandre ,231
1169587,user1169587,http://stackoverflow.com/users/1169587/user1169587 ,220
5247871,Chandra Shekhar,http://stackoverflow.com/users/5247871/chandra-shekhar ,205
4550782,Charles S,http://stackoverflow.com/users/4550782/charles-s ,201
4548006,NVO,http://stackoverflow.com/users/4548006/nvo ,153
4432079,Randy Leonard,http://stackoverflow.com/users/4432079/randy-leonard ,107
4680896,JohnnyQ,http://stackoverflow.com/users/4680896/johnnyq ,82
1293071,user1293071,http://stackoverflow.com/users/1293071/user1293071 ,67
1728977,kelseyelayne,http://stackoverflow.com/users/1728977/kelseyelayne ,50
2034573,mav,http://stackoverflow.com/users/2034573/mav ,24
809260,user809260,http://stackoverflow.com/users/809260/user809260 ,18
2717657,inffy,http://stackoverflow.com/users/2717657/inffy ,17
3644698,lionel jones,http://stackoverflow.com/users/3644698/lionel-jones ,11
3475806,user3475806,http://stackoverflow.com/users/3475806/user3475806 ,6
6197163,Priyanka Ware,http://stackoverflow.com/users/6197163/priyanka-ware ,3
3550446,user3550446,http://stackoverflow.com/users/3550446/user3550446 ,3
6891777,Radhika S,http://stackoverflow.com/users/6891777/radhika-s ,1
6776450,Jin,http://stackoverflow.com/users/6776450/jin ,1
6797198,sayfra85,http://stackoverflow.com/users/6797198/sayfra85 ,1
2216217,sylvainvh,http://stackoverflow.com/users/2216217/sylvainvh ,1
6921568,KGG,http://stackoverflow.com/users/6921568/kgg ,1
6904484,jsan.1618,http://stackoverflow.com/users/6904484/jsan-1618 ,1
6874536,Shravan Jain,http://stackoverflow.com/users/6874536/shravan-jain ,1
6952111,ZhouHongwei,http://stackoverflow.com/users/6952111/zhouhongwei ,1
6949262,Rui,http://stackoverflow.com/users/6949262/rui ,1
6790967,Sanjay,http://stackoverflow.com/users/6790967/sanjay ,1
